,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
由仁町,0.519624235,0.658212472,0.680247727,0.517895878,0.565809355,0.632836731,0.372728281,0.508295584,0.74022772,0.464053202,0.552529794,0.474361795,0.648888835,0.458828912,0.282660956,0.730376947,0.545056391
長沼町,0.489207223,0.672049242,0.698769138,0.500988507,0.64301784,0.701816339,0.360090405,0.529997389,0.71939036,0.45373052,0.558864228,0.476200253,0.648367956,0.461287862,0.312153321,0.723609626,0.532645084
栗山町,0.451412253,0.734621773,0.724997249,0.500272387,0.577063219,0.680774301,0.418938006,0.521375511,0.728186612,0.411586453,0.556424439,0.484156115,0.644128024,0.45210906,0.468922993,0.692585199,0.57847173
月形町,0.465766651,0.751549981,0.763486163,0.526245205,0.337275442,0.659798277,0.381639983,0.528177991,0.727490652,0.44766136,0.556354968,0.471468712,0.660916213,0.455985031,0.374029079,0.697733183,0.571582204
浦臼町,0.507815684,0.786939207,0.711251267,0.547557227,0.317725276,0.65024422,0.391012886,0.542239688,0.666920489,0.359758834,0.555358865,0.433246906,0.661849033,0.556502313,0.599014936,0.646294983,0.90995621
新十津川町,0.456545019,0.781884734,0.749310267,0.513112424,0.626964181,0.671520001,0.458649892,0.418926728,0.581767901,0.433784582,0.55640493,0.459007,0.656772978,0.451336302,0.480533411,0.723202096,0.967983627
妹背牛町,0.549465374,0.707529958,0.708031318,0.540224542,0.687278263,0.654942414,0.401586256,0.491065986,0.753349126,0.4799416,0.552550978,0.458480068,0.653873089,0.464380329,0.342627524,0.714722707,0.229881551
秩父別町,0.367922697,0.700752075,0.717245394,0.520744775,0.665388185,0.63445386,0.386128441,0.48353283,0.642391442,0.476471592,0.556476138,0.434907772,0.6767058,0.457651202,0.445769357,0.719885242,0.423879778
雨竜町,0.479192095,0.692309998,0.654270938,0.542438692,0.574250308,0.635004827,0.386590656,0.523154441,0.675273972,0.423832166,0.556627428,0.465586259,0.660572345,0.456806607,0.364174591,0.738889147,0.405547471
北竜町,0.537025322,0.693727496,0.717891599,0.569685499,0.580983497,0.637169488,0.356960061,0.489895331,0.864697669,0.450700635,0.55412998,0.430522517,0.661173787,0.467020136,0.399365715,0.625531954,0.396491614
沼田町,0.462748931,0.705471251,0.72043659,0.526781997,0.614409014,0.678696513,0.385840792,0.493390429,0.538471473,0.39595544,0.554341494,0.46954667,0.656542866,0.490343588,0.440493619,0.685266102,0.457105747
